Ref,Val,Package,PosX,PosY,Rot,Side
"LED194","LED_ARGB","LED_RGB_0606",273.761200,-132.181600,0.000000,top
"LED195","LED_ARGB","LED_RGB_0606",273.761200,-136.093200,0.000000,top
"LED196","LED_ARGB","LED_RGB_0606",273.812000,-140.106400,0.000000,top
"LED197","LED_ARGB","LED_RGB_0606",273.812000,-144.170400,0.000000,top
"LED198","LED_ARGB","LED_RGB_0606",274.167600,-148.132800,0.000000,top
"LED199","LED_ARGB","LED_RGB_0606",275.082000,-151.942800,0.000000,top
"LED200","LED_ARGB","LED_RGB_0606",275.640800,-155.803600,0.000000,top
"LED201","LED_ARGB","LED_RGB_0606",277.063200,-158.851600,0.000000,top
"LED202","LED_ARGB","LED_RGB_0606",280.466800,-160.578800,0.000000,top
"LED203","LED_ARGB","LED_RGB_0606",283.768800,-162.966400,0.000000,top
"LED204","LED_ARGB","LED_RGB_0606",287.324800,-164.287200,0.000000,top
"LED205","LED_ARGB","LED_RGB_0606",291.287200,-164.033200,0.000000,top
"LED206","LED_ARGB","LED_RGB_0606",295.300400,-163.931600,0.000000,top
"LED207","LED_ARGB","LED_RGB_0606",299.262800,-163.880800,0.000000,top
"LED208","LED_ARGB","LED_RGB_0606",278.333200,-137.566400,0.000000,top
"LED209","LED_ARGB","LED_RGB_0606",278.282400,-141.732000,0.000000,top
"LED210","LED_ARGB","LED_RGB_0606",280.822400,-144.373600,0.000000,top
"LED211","LED_ARGB","LED_RGB_0606",283.311600,-147.624800,0.000000,top
"LED212","LED_ARGB","LED_RGB_0606",286.867600,-149.250400,0.000000,top
"LED213","LED_ARGB","LED_RGB_0606",290.525200,-149.860000,0.000000,top
"LED214","LED_ARGB","LED_RGB_0606",294.233600,-151.739600,0.000000,top
"LED215","LED_ARGB","LED_RGB_0606",296.976800,-154.635200,0.000000,top
"LED216","LED_ARGB","LED_RGB_0606",299.770800,-156.768800,0.000000,top
"LED217","LED_ARGB","LED_RGB_0606",303.784000,-156.870400,0.000000,top
"LED218","LED_ARGB","LED_RGB_0606",307.746400,-157.581600,0.000000,top
"LED219","LED_ARGB","LED_RGB_0606",311.200800,-159.207200,0.000000,top
"LED220","LED_ARGB","LED_RGB_0606",314.960000,-160.426400,0.000000,top
"LED221","LED_ARGB","LED_RGB_0606",318.617600,-161.544000,0.000000,top
"LED222","LED_ARGB","LED_RGB_0606",322.326000,-162.255200,0.000000,top
"LED223","LED_ARGB","LED_RGB_0606",325.424800,-164.846000,0.000000,top
"LED224","LED_ARGB","LED_RGB_0606",327.609200,-167.284400,0.000000,top
"LED225","LED_ARGB","LED_RGB_0606",331.825600,-167.335200,0.000000,top
"LED226","LED_ARGB","LED_RGB_0606",303.072800,-164.185600,0.000000,top
"LED227","LED_ARGB","LED_RGB_0606",307.187600,-164.185600,0.000000,top
"LED228","LED_ARGB","LED_RGB_0606",311.200800,-164.185600,0.000000,top
"LED229","LED_ARGB","LED_RGB_0606",315.061600,-164.185600,0.000000,top
"LED230","LED_ARGB","LED_RGB_0606",318.566800,-165.506400,0.000000,top
"LED231","LED_ARGB","LED_RGB_0606",321.411600,-168.554400,0.000000,top
"LED232","LED_ARGB","LED_RGB_0606",323.240400,-172.110400,0.000000,top
"LED233","LED_ARGB","LED_RGB_0606",325.780400,-174.599600,0.000000,top
"LED234","LED_ARGB","LED_RGB_0606",328.218800,-177.749200,0.000000,top
"LED235","LED_ARGB","LED_RGB_0606",267.665200,-68.681600,0.000000,top
"LED236","LED_ARGB","LED_RGB_0606",270.256000,-71.577200,0.000000,top
"LED237","LED_ARGB","LED_RGB_0606",273.354800,-73.507600,0.000000,top
"LED238","LED_ARGB","LED_RGB_0606",277.317200,-74.472800,0.000000,top
"LED239","LED_ARGB","LED_RGB_0606",280.974800,-76.200000,0.000000,top
"LED240","LED_ARGB","LED_RGB_0606",283.311600,-79.197200,0.000000,top
"LED241","LED_ARGB","LED_RGB_0606",286.054800,-81.991200,0.000000,top
"LED242","LED_ARGB","LED_RGB_0606",288.798000,-84.836000,0.000000,top
"LED243","LED_ARGB","LED_RGB_0606",291.388800,-87.833200,0.000000,top
"LED244","LED_ARGB","LED_RGB_0606",265.125200,-88.798400,0.000000,top
"LED245","LED_ARGB","LED_RGB_0606",268.833600,-88.900000,0.000000,top
"LED246","LED_ARGB","LED_RGB_0606",272.796000,-88.900000,0.000000,top
"LED247","LED_ARGB","LED_RGB_0606",276.758400,-89.357200,0.000000,top
"LED248","LED_ARGB","LED_RGB_0606",279.298400,-92.456000,0.000000,top
"LED249","LED_ARGB","LED_RGB_0606",282.448000,-94.843600,0.000000,top
"LED250","LED_ARGB","LED_RGB_0606",284.581600,-98.399600,0.000000,top
"LED251","LED_ARGB","LED_RGB_0606",287.578800,-100.431600,0.000000,top
"LED252","LED_ARGB","LED_RGB_0606",289.915600,-103.327200,0.000000,top
"LED253","LED_ARGB","LED_RGB_0606",289.560000,-72.136000,0.000000,top
"LED254","LED_ARGB","LED_RGB_0606",293.471600,-72.745600,0.000000,top
"LED255","LED_ARGB","LED_RGB_0606",297.180000,-73.863200,0.000000,top
"LED256","LED_ARGB","LED_RGB_0606",300.634400,-76.047600,0.000000,top
"LED257","LED_ARGB","LED_RGB_0606",304.088800,-78.282800,0.000000,top
"LED258","LED_ARGB","LED_RGB_0606",307.898800,-78.740000,0.000000,top
"LED259","LED_ARGB","LED_RGB_0606",310.540400,-81.737200,0.000000,top
"LED260","LED_ARGB","LED_RGB_0606",313.334400,-84.378800,0.000000,top
"LED261","LED_ARGB","LED_RGB_0606",314.350400,-88.036400,0.000000,top
"LED262","LED_ARGB","LED_RGB_0606",293.725600,-90.830400,0.000000,top
"LED263","LED_ARGB","LED_RGB_0606",294.792400,-94.691200,0.000000,top
"LED264","LED_ARGB","LED_RGB_0606",296.418000,-98.094800,0.000000,top
"LED265","LED_ARGB","LED_RGB_0606",299.466000,-100.939600,0.000000,top
"LED266","LED_ARGB","LED_RGB_0606",302.209200,-103.682800,0.000000,top
"LED267","LED_ARGB","LED_RGB_0606",304.292000,-106.629200,0.000000,top
"LED268","LED_ARGB","LED_RGB_0606",308.762400,-109.524800,0.000000,top
"LED269","LED_ARGB","LED_RGB_0606",312.521600,-108.305600,0.000000,top
"LED270","LED_ARGB","LED_RGB_0606",315.925200,-106.629200,0.000000,top
"LED271","LED_ARGB","LED_RGB_0606",293.471600,-105.156000,0.000000,top
"LED272","LED_ARGB","LED_RGB_0606",296.926000,-106.730800,0.000000,top
"LED273","LED_ARGB","LED_RGB_0606",300.126400,-109.372400,0.000000,top
"LED274","LED_ARGB","LED_RGB_0606",304.038000,-110.388400,0.000000,top
"LED275","LED_ARGB","LED_RGB_0606",303.784000,-114.350800,0.000000,top
"LED276","LED_ARGB","LED_RGB_0606",307.100000,-116.200000,0.000000,top
"LED277","LED_ARGB","LED_RGB_0606",310.896000,-117.195600,0.000000,top
"LED278","LED_ARGB","LED_RGB_0606",314.452000,-119.278400,0.000000,top
"LED279","LED_ARGB","LED_RGB_0606",316.992000,-122.326400,0.000000,top
