Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED237,LED_ARGB,LED_RGB_0606,273.2278,-73.3806,0.0,top
LED238,LED_ARGB,LED_RGB_0606,277.1902,-74.3458,0.0,top
LED239,LED_ARGB,LED_RGB_0606,280.8478,-76.073,0.0,top
LED24,LED_ARGB,LED_RGB_0606,89.281,-43.4086,0.0,top
LED240,LED_ARGB,LED_RGB_0606,283.1846,-79.0702,0.0,top
LED241,LED_ARGB,LED_RGB_0606,285.9278,-81.8642,0.0,top
LED242,LED_ARGB,LED_RGB_0606,288.671,-84.709,0.0,top
LED243,LED_ARGB,LED_RGB_0606,291.2618,-87.7062,0.0,top
LED244,LED_ARGB,LED_RGB_0606,264.9982,-88.6714,0.0,top
LED245,LED_ARGB,LED_RGB_0606,268.7066,-88.773,0.0,top
LED246,LED_ARGB,LED_RGB_0606,272.669,-88.773,0.0,top
LED247,LED_ARGB,LED_RGB_0606,276.6314,-89.2302,0.0,top
LED248,LED_ARGB,LED_RGB_0606,279.1714,-92.329,0.0,top
LED249,LED_ARGB,LED_RGB_0606,282.321,-94.7166,0.0,top
LED25,LED_ARGB,LED_RGB_0606,93.0402,-44.577,0.0,top
LED250,LED_ARGB,LED_RGB_0606,284.4546,-98.2726,0.0,top
LED251,LED_ARGB,LED_RGB_0606,287.4518,-100.3046,0.0,top
LED252,LED_ARGB,LED_RGB_0606,289.7886,-103.2002,0.0,top
LED253,LED_ARGB,LED_RGB_0606,289.433,-72.009,0.0,top
LED254,LED_ARGB,LED_RGB_0606,293.3446,-72.6186,0.0,top
LED255,LED_ARGB,LED_RGB_0606,297.053,-73.7362,0.0,top
LED256,LED_ARGB,LED_RGB_0606,300.5074,-75.9206,0.0,top
LED257,LED_ARGB,LED_RGB_0606,303.9618,-78.1558,0.0,top
LED258,LED_ARGB,LED_RGB_0606,307.7718,-78.613,0.0,top
LED259,LED_ARGB,LED_RGB_0606,310.4134,-81.6102,0.0,top
LED26,LED_ARGB,LED_RGB_0606,95.6818,-47.4218,0.0,top
LED260,LED_ARGB,LED_RGB_0606,313.2074,-84.2518,0.0,top
LED261,LED_ARGB,LED_RGB_0606,314.2234,-87.9094,0.0,top
LED262,LED_ARGB,LED_RGB_0606,293.5986,-90.7034,0.0,top
LED263,LED_ARGB,LED_RGB_0606,294.6654,-94.5642,0.0,top
LED264,LED_ARGB,LED_RGB_0606,296.291,-97.9678,0.0,top
LED265,LED_ARGB,LED_RGB_0606,299.339,-100.8126,0.0,top
LED266,LED_ARGB,LED_RGB_0606,302.0822,-103.5558,0.0,top
LED267,LED_ARGB,LED_RGB_0606,304.165,-106.5022,0.0,top
LED268,LED_ARGB,LED_RGB_0606,308.6354,-109.3978,0.0,top
LED269,LED_ARGB,LED_RGB_0606,312.3946,-108.1786,0.0,top
LED27,LED_ARGB,LED_RGB_0606,98.5774,-49.4538,0.0,top
LED270,LED_ARGB,LED_RGB_0606,315.7982,-106.5022,0.0,top
LED271,LED_ARGB,LED_RGB_0606,293.3446,-105.029,0.0,top
LED272,LED_ARGB,LED_RGB_0606,296.799,-106.6038,0.0,top
LED273,LED_ARGB,LED_RGB_0606,299.9994,-109.2454,0.0,top
LED274,LED_ARGB,LED_RGB_0606,303.911,-110.2614,0.0,top
LED275,LED_ARGB,LED_RGB_0606,303.657,-114.2238,0.0,top
LED276,LED_ARGB,LED_RGB_0606,306.973,-116.073,0.0,top
LED277,LED_ARGB,LED_RGB_0606,310.769,-117.0686,0.0,top
LED278,LED_ARGB,LED_RGB_0606,314.325,-119.1514,0.0,top
LED279,LED_ARGB,LED_RGB_0606,316.865,-122.1994,0.0,top
LED28,LED_ARGB,LED_RGB_0606,101.473,-51.943,0.0,top
LED280,LED_ARGB,LED_RGB_0606,316.7634,-89.6366,0.0,top
LED281,LED_ARGB,LED_RGB_0606,320.5734,-89.535,0.0,top
LED282,LED_ARGB,LED_RGB_0606,324.5866,-89.535,0.0,top
LED283,LED_ARGB,LED_RGB_0606,328.2442,-90.3986,0.0,top
LED284,LED_ARGB,LED_RGB_0606,332.2066,-90.2462,0.0,top
LED285,LED_ARGB,LED_RGB_0606,336.2706,-90.7034,0.0,top
LED286,LED_ARGB,LED_RGB_0606,339.6742,-92.837,0.0,top
LED287,LED_ARGB,LED_RGB_0606,343.5858,-93.0402,0.0,top
LED288,LED_ARGB,LED_RGB_0606,347.5482,-93.0402,0.0,top
LED289,LED_ARGB,LED_RGB_0606,319.8114,-106.1466,0.0,top
LED29,LED_ARGB,LED_RGB_0606,104.3686,-54.8894,0.0,top
LED290,LED_ARGB,LED_RGB_0606,323.723,-106.0958,0.0,top
LED291,LED_ARGB,LED_RGB_0606,327.7362,-106.045,0.0,top
LED292,LED_ARGB,LED_RGB_0606,331.6478,-105.9942,0.0,top
LED293,LED_ARGB,LED_RGB_0606,335.7118,-106.8578,0.0,top
LED294,LED_ARGB,LED_RGB_0606,339.3694,-107.5182,0.0,top
LED295,LED_ARGB,LED_RGB_0606,343.281,-107.1118,0.0,top
LED296,LED_ARGB,LED_RGB_0606,347.2942,-106.5022,0.0,top
LED297,LED_ARGB,LED_RGB_0606,351.3074,-106.0958,0.0,top
LED298,LED_ARGB,LED_RGB_0606,319.405,-125.2474,0.0,top
LED299,LED_ARGB,LED_RGB_0606,321.2338,-128.7018,0.0,top
LED3,LED_ARGB,LED_RGB_0606,12.065,-30.4038,0.0,top
LED30,LED_ARGB,LED_RGB_0606,108.1278,-55.3974,0.0,top
LED300,LED_ARGB,LED_RGB_0606,323.977,-131.5466,0.0,top
LED301,LED_ARGB,LED_RGB_0606,325.9582,-135.0518,0.0,top
LED302,LED_ARGB,LED_RGB_0606,328.1426,-138.4046,0.0,top
LED303,LED_ARGB,LED_RGB_0606,330.9874,-141.0462,0.0,top
LED304,LED_ARGB,LED_RGB_0606,334.2894,-143.3322,0.0,top
LED305,LED_ARGB,LED_RGB_0606,337.5914,-145.5166,0.0,top
LED306,LED_ARGB,LED_RGB_0606,340.6902,-147.8026,0.0,top
LED307,LED_ARGB,LED_RGB_0606,353.9998,-156.6926,0.0,top
LED308,LED_ARGB,LED_RGB_0606,350.7486,-154.305,0.0,top
LED309,LED_ARGB,LED_RGB_0606,347.2942,-152.0698,0.0,top
LED31,LED_ARGB,LED_RGB_0606,111.0234,-57.9374,0.0,top
LED310,LED_ARGB,LED_RGB_0606,344.1954,-150.1902,0.0,top
LED311,LED_ARGB,LED_RGB_0606,359.1814,-106.045,0.0,top
LED312,LED_ARGB,LED_RGB_0606,355.2698,-106.045,0.0,top
LED313,LED_ARGB,LED_RGB_0606,358.4194,-95.9866,0.0,top
LED314,LED_ARGB,LED_RGB_0606,355.0666,-94.615,0.0,top
LED315,LED_ARGB,LED_RGB_0606,351.2566,-94.2086,0.0,top
LED316,LED_ARGB,LED_RGB_0606,356.5906,-159.7914,0.0,top
LED317,LED_ARGB,LED_RGB_0606,359.1814,-162.8394,0.0,top
LED318,LED_ARGB,LED_RGB_0606,353.1362,-183.8706,0.0,top
LED319,LED_ARGB,LED_RGB_0606,349.631,-181.991,0.0,top
LED32,LED_ARGB,LED_RGB_0606,113.6142,-61.0362,0.0,top
LED320,LED_ARGB,LED_RGB_0606,335.3562,-168.275,0.0,top
LED321,LED_ARGB,LED_RGB_0606,338.0486,-170.9166,0.0,top
LED322,LED_ARGB,LED_RGB_0606,340.995,-173.863,0.0,top
LED323,LED_ARGB,LED_RGB_0606,343.8906,-176.5046,0.0,top
LED324,LED_ARGB,LED_RGB_0606,346.7862,-179.2478,0.0,top
LED325,LED_ARGB,LED_RGB_0606,5.973,-158.573,0.0,top
LED326,LED_ARGB,LED_RGB_0606,18.542,-89.747,0.0,top
LED327,LED_ARGB,LED_RGB_0606,28.067,-89.747,0.0,top
LED328,LED_ARGB,LED_RGB_0606,9.073,-89.773,0.0,top
LED329,LED_ARGB,LED_RGB_0606,330.7334,-180.467,0.0,top
LED33,LED_ARGB,LED_RGB_0606,117.0686,-62.865,0.0,top
LED330,LED_ARGB,LED_RGB_0606,333.2226,-183.515,0.0,top
LED331,LED_ARGB,LED_RGB_0606,134.773,-64.773,0.0,top
LED332,LED_ARGB,LED_RGB_0606,138.873,-63.973,0.0,top
LED333,LED_ARGB,LED_RGB_0606,142.673,-62.073,0.0,top
LED334,LED_ARGB,LED_RGB_0606,146.073,-59.773,0.0,top
LED335,LED_ARGB,LED_RGB_0606,149.373,-57.173,0.0,top
LED336,LED_ARGB,LED_RGB_0606,152.573,-54.773,0.0,top
LED337,LED_ARGB,LED_RGB_0606,155.673,-52.173,0.0,top
LED338,LED_ARGB,LED_RGB_0606,158.873,-49.673,0.0,top
LED339,LED_ARGB,LED_RGB_0606,162.573,-47.473,0.0,top
LED34,LED_ARGB,LED_RGB_0606,120.8278,-63.8302,0.0,top
LED340,LED_ARGB,LED_RGB_0606,165.773,-44.973,0.0,top
LED341,LED_ARGB,LED_RGB_0606,169.373,-43.473,0.0,top
LED342,LED_ARGB,LED_RGB_0606,173.373,-42.473,0.0,top
LED343,LED_ARGB,LED_RGB_0606,177.273,-41.173,0.0,top
LED344,LED_ARGB,LED_RGB_0606,180.873,-39.573,0.0,top
LED345,LED_ARGB,LED_RGB_0606,184.973,-39.073,0.0,top
LED346,LED_ARGB,LED_RGB_0606,189.073,-38.873,0.0,top
LED347,LED_ARGB,LED_RGB_0606,193.073,-39.073,0.0,top
LED348,LED_ARGB,LED_RGB_0606,197.073,-38.773,0.0,top
LED349,LED_ARGB,LED_RGB_0606,200.873,-38.273,0.0,top
LED35,LED_ARGB,LED_RGB_0606,124.2314,-65.6082,0.0,top
LED350,LED_ARGB,LED_RGB_0606,204.673,-37.873,0.0,top
LED351,LED_ARGB,LED_RGB_0606,207.973,-36.173,0.0,top
LED352,LED_ARGB,LED_RGB_0606,212.273,-36.973,0.0,top
LED353,LED_ARGB,LED_RGB_0606,216.473,-36.373,0.0,top
LED354,LED_ARGB,LED_RGB_0606,220.573,-37.873,0.0,top
LED355,LED_ARGB,LED_RGB_0606,224.573,-36.873,0.0,top
LED356,LED_ARGB,LED_RGB_0606,228.173,-35.273,0.0,top
LED357,LED_ARGB,LED_RGB_0606,231.573,-33.273,0.0,top
LED358,LED_ARGB,LED_RGB_0606,234.973,-31.673,0.0,top
LED359,LED_ARGB,LED_RGB_0606,260.173,-116.473,0.0,top
LED36,LED_ARGB,LED_RGB_0606,127.6858,-67.437,0.0,top
LED360,LED_ARGB,LED_RGB_0606,263.773,-115.273,0.0,top
LED361,LED_ARGB,LED_RGB_0606,270.773,-114.473,0.0,top
LED362,LED_ARGB,LED_RGB_0606,274.873,-114.273,0.0,top
LED363,LED_ARGB,LED_RGB_0606,279.173,-113.873,0.0,top
LED364,LED_ARGB,LED_RGB_0606,283.173,-113.673,0.0,top
LED365,LED_ARGB,LED_RGB_0606,287.373,-113.273,0.0,top
LED366,LED_ARGB,LED_RGB_0606,291.573,-113.273,0.0,top
LED367,LED_ARGB,LED_RGB_0606,296.173,-113.873,0.0,top
LED368,LED_ARGB,LED_RGB_0606,299.873,-115.873,0.0,top
LED369,LED_ARGB,LED_RGB_0606,293.873,-116.673,0.0,top
LED37,LED_ARGB,LED_RGB_0606,131.273,-66.7766,0.0,top
LED370,LED_ARGB,LED_RGB_0606,293.473,-119.873,0.0,top
LED371,LED_ARGB,LED_RGB_0606,293.373,-123.073,0.0,top
LED372,LED_ARGB,LED_RGB_0606,293.473,-126.273,0.0,top
LED373,LED_ARGB,LED_RGB_0606,293.473,-129.673,0.0,top
LED374,LED_ARGB,LED_RGB_0606,293.473,-133.073,0.0,top
LED375,LED_ARGB,LED_RGB_0606,293.173,-136.473,0.0,top
LED376,LED_ARGB,LED_RGB_0606,292.373,-140.073,0.0,top
LED377,LED_ARGB,LED_RGB_0606,292.573,-143.673,0.0,top
LED378,LED_ARGB,LED_RGB_0606,292.873,-147.273,0.0,top
LED379,LED_ARGB,LED_RGB_0606,292.373,-154.273,0.0,top
LED38,LED_ARGB,LED_RGB_0606,134.5438,-68.7578,0.0,top
LED380,LED_ARGB,LED_RGB_0606,292.273,-157.673,0.0,top
LED381,LED_ARGB,LED_RGB_0606,292.073,-160.873,0.0,top
LED382,LED_ARGB,LED_RGB_0606,293.573,-166.673,0.0,top
LED383,LED_ARGB,LED_RGB_0606,292.173,-170.073,0.0,top
LED384,LED_ARGB,LED_RGB_0606,255.248,-48.973,0.0,top
LED385,LED_ARGB,LED_RGB_0606,255.573,-45.298,0.0,top
LED386,LED_ARGB,LED_RGB_0606,257.748,-42.273,0.0,top
LED387,LED_ARGB,LED_RGB_0606,260.748,-39.773,0.0,top
LED388,LED_ARGB,LED_RGB_0606,264.123,-37.423,0.0,top
LED389,LED_ARGB,LED_RGB_0606,266.598,-34.448,0.0,top
LED39,LED_ARGB,LED_RGB_0606,137.9982,-70.739,0.0,top
LED390,LED_ARGB,LED_RGB_0606,270.023,-32.698,0.0,top
LED391,LED_ARGB,LED_RGB_0606,273.998,-31.623,0.0,top
LED392,LED_ARGB,LED_RGB_0606,277.648,-30.723,0.0,top
LED393,LED_ARGB,LED_RGB_0606,280.573,-28.148,0.0,top
LED394,LED_ARGB,LED_RGB_0606,283.123,-25.323,0.0,top
LED395,LED_ARGB,LED_RGB_0606,286.723,-23.948,0.0,top
LED396,LED_ARGB,LED_RGB_0606,290.048,-22.123,0.0,top
LED397,LED_ARGB,LED_RGB_0606,293.223,-19.148,0.0,top
LED398,LED_ARGB,LED_RGB_0606,297.323,-17.523,0.0,top
LED399,LED_ARGB,LED_RGB_0606,301.648,-17.323,0.0,top
LED4,LED_ARGB,LED_RGB_0606,15.7734,-31.5722,0.0,top
